service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
1,1,1,1,1,1,0,0,20260412,20260504
2,1,1,1,1,1,0,0,20260407,20260504
3,0,0,0,0,0,1,0,20260407,20260504
4,1,1,1,1,1,0,0,20260407,20260504
5,0,0,0,0,0,1,0,20260407,20260504
6,0,0,0,0,0,1,0,20260409,20260504
7,1,1,1,1,1,0,0,20260409,20260504
8,1,1,1,1,1,0,0,20260407,20260504
9,1,0,0,0,0,0,0,20260407,20260504
10,1,1,1,1,1,0,0,20260407,20260504
11,1,1,1,1,1,1,0,20260407,20260504
12,1,1,1,1,1,0,0,20260407,20260504
13,1,1,1,1,1,0,0,20260407,20260504
14,1,1,1,1,1,0,0,20260407,20260504
15,1,1,1,1,1,0,0,20260407,20260504
16,1,1,1,1,1,1,0,20260407,20260504
17,0,0,0,0,0,1,0,20260407,20260504
18,1,1,1,1,1,0,0,20260407,20260504
19,1,1,1,1,1,0,0,20260412,20260504
20,0,0,0,0,0,1,0,20260412,20260504
21,1,1,1,1,1,0,0,20260412,20260504
22,1,1,1,1,1,0,0,20260407,20260504
23,1,1,1,1,1,0,0,20260407,20260504
24,1,1,1,1,1,0,0,20260407,20260504
25,0,0,0,0,0,1,0,20260407,20260504
26,1,1,1,1,1,1,0,20260407,20260504
27,1,1,1,1,1,0,0,20260407,20260504
28,1,1,1,1,1,0,0,20260407,20260504
29,1,1,1,1,1,1,0,20260407,20260504
30,1,1,1,1,1,1,0,20260407,20260504
31,1,1,1,1,1,0,0,20260407,20260504
32,1,1,1,1,1,0,0,20260407,20260504
33,1,1,1,1,1,0,0,20260407,20260504
34,1,1,1,1,1,1,0,20260407,20260504
35,1,1,1,1,1,1,0,20260407,20260504
36,1,1,1,1,1,1,0,20260407,20260504
37,0,0,0,0,0,1,0,20260407,20260504
38,1,1,1,1,1,0,0,20260407,20260504
39,1,1,1,1,1,1,0,20260407,20260504
40,1,0,0,0,0,0,0,20260407,20260504
41,1,1,1,1,1,0,0,20260407,20260504
42,1,1,1,1,1,0,0,20260407,20260504
43,0,0,0,0,0,1,0,20260407,20260504
44,1,1,1,1,1,1,0,20260407,20260504
45,1,0,0,0,0,0,0,20260407,20260504
46,1,1,1,1,1,1,0,20260407,20260504
47,1,1,1,1,1,0,0,20260407,20260504
48,1,1,1,1,1,1,0,20260407,20260504
49,0,0,0,0,0,1,0,20260407,20260504
50,1,1,1,1,1,0,0,20260412,20260504
51,0,0,0,0,0,1,0,20260412,20260504
52,1,1,1,1,1,1,0,20260407,20260504
53,1,1,1,1,1,0,0,20260407,20260504
54,0,0,0,0,0,0,1,20260407,20260504
55,1,1,1,1,1,0,0,20260407,20260504
56,0,0,0,0,0,1,0,20260407,20260504
57,1,1,1,1,1,0,0,20260407,20260504
58,0,0,0,0,0,1,0,20260407,20260504
59,1,1,1,1,1,0,0,20260407,20260504
60,1,1,1,1,1,0,0,20260407,20260504
61,1,1,1,1,1,1,1,20260407,20260504
62,1,1,1,1,1,1,0,20260407,20260504
63,1,1,1,1,1,0,0,20260407,20260504
64,1,1,1,1,1,0,0,20260407,20260504
65,1,1,1,1,1,0,0,20260407,20260504
66,0,0,0,0,0,1,0,20260407,20260504
